model,price,pro,url,region,tel,year,km,argus,more_expansive_than_argus
intens,10490,True,//www.leboncoin.fr/voitures/1318017388.htm?ca=12_s,ile_de_france,,2014,2700,9457.0,True
life,9500,True,//www.leboncoin.fr/voitures/1182442290.htm?ca=12_s,ile_de_france,0182714652,2014,7039,11975.0,False
life,8980,True,//www.leboncoin.fr/voitures/1149393841.htm?ca=12_s,ile_de_france,0182714652,2014,25257,11448.0,False
life,8500,True,//www.leboncoin.fr/voitures/1147612430.htm?ca=12_s,ile_de_france,0182714652,2013,13484,8985.0,False
intens,9800,True,//www.leboncoin.fr/voitures/1178596428.htm?ca=12_s,ile_de_france,0174037256,2013,32671,8840.0,True
zen,8300,False,//www.leboncoin.fr/voitures/1317211698.htm?ca=12_s,ile_de_france,,2013,47000,8504.0,False
zen,18500,True,//www.leboncoin.fr/voitures/1133616734.htm?ca=12_s,ile_de_france,0184040214,2017,6500,14797.0,True
intens,7950,False,//www.leboncoin.fr/voitures/1185131587.htm?ca=12_s,ile_de_france,,2013,29500,8984.0,False
zen,8480,True,//www.leboncoin.fr/voitures/1155689660.htm?ca=12_s,ile_de_france,0185470460,2013,31250,9297.0,False
life,7990,True,//www.leboncoin.fr/voitures/1109874759.htm?ca=12_s,ile_de_france,0677372750,2013,31451,8549.0,False
life,6790,True,//www.leboncoin.fr/voitures/1314954351.htm?ca=12_s,ile_de_france,0164572000,2013,70896,7518.0,False
life,10890,True,//www.leboncoin.fr/voitures/1314085781.htm?ca=12_s,ile_de_france,0185500387,2016,6667,11460.0,False
zen,16390,True,//www.leboncoin.fr/voitures/1153901361.htm?ca=12_s,ile_de_france,0184030570,2017,500,15032.0,True
,8000,False,//www.leboncoin.fr/voitures/1313301922.htm?ca=12_s,ile_de_france,,2013,55300,,False
life,9900,True,//www.leboncoin.fr/voitures/1153494165.htm?ca=12_s,ile_de_france,0164393333,2015,17940,9568.0,True
zen,11590,True,//www.leboncoin.fr/voitures/1174505037.htm?ca=12_s,ile_de_france,0178455073,2015,3100,10408.0,True
intens,10700,True,//www.leboncoin.fr/voitures/1174505458.htm?ca=12_s,ile_de_france,0178455073,2015,40095,10233.0,True
zen,8700,True,//www.leboncoin.fr/voitures/1174505342.htm?ca=12_s,ile_de_france,0178455073,2013,81404,8154.0,True
zen,9000,False,//www.leboncoin.fr/voitures/1312154281.htm?ca=12_s,ile_de_france,,2015,11900,10320.0,False
intens,10900,True,//www.leboncoin.fr/voitures/1311654426.htm?ca=12_s,ile_de_france,0178455073,2014,18815,9283.0,True
intens,11500,True,//www.leboncoin.fr/voitures/1311655583.htm?ca=12_s,ile_de_france,0174704406,2015,10014,11891.0,False
intens,17790,True,//www.leboncoin.fr/voitures/1311654762.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
zen,10990,True,//www.leboncoin.fr/voitures/1311654168.htm?ca=12_s,ile_de_france,0178455073,2014,8184,10614.0,True
intens,17790,True,//www.leboncoin.fr/voitures/1311654674.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
intens,17490,True,//www.leboncoin.fr/voitures/1311654806.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
intens,17790,True,//www.leboncoin.fr/voitures/1311654839.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
intens,17790,True,//www.leboncoin.fr/voitures/1311654664.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
intens,17790,True,//www.leboncoin.fr/voitures/1311654684.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
intens,17490,True,//www.leboncoin.fr/voitures/1311654659.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
intens,17790,True,//www.leboncoin.fr/voitures/1311654697.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
intens,17790,True,//www.leboncoin.fr/voitures/1311654725.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
zen,8790,True,//www.leboncoin.fr/voitures/1311655973.htm?ca=12_s,ile_de_france,0174704406,2013,19186,9688.0,False
intens,17790,True,//www.leboncoin.fr/voitures/1311654795.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
intens,17790,True,//www.leboncoin.fr/voitures/1311654735.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
intens,17790,True,//www.leboncoin.fr/voitures/1311654831.htm?ca=12_s,ile_de_france,0160625056,2017,1,15461.0,True
intens,11990,True,//www.leboncoin.fr/voitures/1311182741.htm?ca=12_s,ile_de_france,0174730257,2015,19756,11491.0,True
zen,13900,True,//www.leboncoin.fr/voitures/1128769092.htm?ca=12_s,ile_de_france,0184270396,2016,100,14317.0,False
intens,10450,False,//www.leboncoin.fr/voitures/1309416440.htm?ca=12_s,ile_de_france,,2015,20000,11476.0,False
zen,9980,True,//www.leboncoin.fr/voitures/1310686854.htm?ca=12_s,ile_de_france,0184207324,2013,49299,8426.0,True
life,9490,True,//www.leboncoin.fr/voitures/1128769008.htm?ca=12_s,ile_de_france,0174704406,2014,2759,11991.0,False
intens,12990,True,//www.leboncoin.fr/voitures/1049170770.htm?ca=12_s,ile_de_france,0170176498,2016,6130,12676.0,True
zen,13900,True,//www.leboncoin.fr/voitures/1128769061.htm?ca=12_s,ile_de_france,0184270396,2016,100,14317.0,False
zen,16800,False,//www.leboncoin.fr/voitures/1310153601.htm?ca=12_s,ile_de_france,,2017,7400,14725.0,True
life,9980,True,//www.leboncoin.fr/voitures/1309668385.htm?ca=12_s,ile_de_france,0184207324,2014,33853,10891.0,False
zen,10390,True,//www.leboncoin.fr/voitures/1170361076.htm?ca=12_s,ile_de_france,0184030570,2016,100,14317.0,False
zen,11690,True,//www.leboncoin.fr/voitures/1170361118.htm?ca=12_s,ile_de_france,0184030570,2016,100,14317.0,False
zen,11390,True,//www.leboncoin.fr/voitures/1170361094.htm?ca=12_s,ile_de_france,0184030570,2016,100,14317.0,False
life,9600,True,//www.leboncoin.fr/voitures/1136394587.htm?ca=12_s,ile_de_france,0175448151,2014,27582,11302.0,False
intens,10990,True,//www.leboncoin.fr/voitures/1148864542.htm?ca=12_s,ile_de_france,0174704406,2014,15888,9347.0,True
zen,15000,False,//www.leboncoin.fr/voitures/1306769563.htm?ca=12_s,ile_de_france,,2017,17800,14561.0,True
life,9500,True,//www.leboncoin.fr/voitures/1147612495.htm?ca=12_s,ile_de_france,0182714652,2015,19438,9493.0,True
life,9490,True,//www.leboncoin.fr/voitures/1101078242.htm?ca=12_s,ile_de_france,0174704406,2013,8800,9015.0,True
zen,11690,True,//www.leboncoin.fr/voitures/1167828367.htm?ca=12_s,ile_de_france,0184030570,2016,100,14317.0,False
life,9600,True,//www.leboncoin.fr/voitures/1171143468.htm?ca=12_s,ile_de_france,0160926972,2014,31872,11016.0,False
zen,9000,True,//www.leboncoin.fr/voitures/1303806454.htm?ca=12_s,ile_de_france,0175448151,2013,70102,8170.0,True
life,9100,True,//www.leboncoin.fr/voitures/1178596024.htm?ca=12_s,ile_de_france,0170176498,2014,31425,11041.0,False
life,9600,True,//www.leboncoin.fr/voitures/1303298657.htm?ca=12_s,ile_de_france,0175448151,2014,32203,10998.0,False
,10990,True,//www.leboncoin.fr/voitures/1166590040.htm?ca=12_s,ile_de_france,0143246174,2014,14497,,False
zen,10400,True,//www.leboncoin.fr/voitures/1303298374.htm?ca=12_s,ile_de_france,0175448151,2014,20359,10391.0,True
zen,11990,True,//www.leboncoin.fr/voitures/1166018156.htm?ca=12_s,ile_de_france,0175448166,2016,5975,14278.0,False
zen,11990,True,//www.leboncoin.fr/voitures/1166018166.htm?ca=12_s,ile_de_france,0175448164,2016,5975,14278.0,False
life,9490,True,//www.leboncoin.fr/voitures/1187231493.htm?ca=12_s,ile_de_france,0175448164,2014,12658,11908.0,False
life,9490,True,//www.leboncoin.fr/voitures/1187231658.htm?ca=12_s,ile_de_france,0175448166,2014,12658,11908.0,False
intens,14000,True,//www.leboncoin.fr/voitures/1120100372.htm?ca=12_s,ile_de_france,0184030235,2016,10000,12561.0,True
intens,11500,True,//www.leboncoin.fr/voitures/1164288784.htm?ca=12_s,ile_de_france,0178455073,2015,16134,11701.0,False
zen,10100,True,//www.leboncoin.fr/voitures/1164238082.htm?ca=12_s,ile_de_france,0677372750,2014,36385,9534.0,True
zen,11390,True,//www.leboncoin.fr/voitures/1186775046.htm?ca=12_s,ile_de_france,0184030570,2016,100,14317.0,False
life,8980,True,//www.leboncoin.fr/voitures/1154896368.htm?ca=12_s,ile_de_france,0182714652,2014,21264,11666.0,False
life,10300,True,//www.leboncoin.fr/voitures/1186340864.htm?ca=12_s,ile_de_france,0174037256,2014,21430,11660.0,False
zen,11700,True,//www.leboncoin.fr/voitures/1186340768.htm?ca=12_s,ile_de_france,0174037256,2015,19157,10041.0,True
life,10600,True,//www.leboncoin.fr/voitures/1163364537.htm?ca=12_s,ile_de_france,0677372750,2014,28664,11240.0,False
,10990,False,//www.leboncoin.fr/voitures/1184849743.htm?ca=12_s,ile_de_france,,2015,6000,,False
zen,16480,True,//www.leboncoin.fr/voitures/1183788805.htm?ca=12_s,ile_de_france,0160625056,2017,1,15033.0,True
intens,10590,True,//www.leboncoin.fr/voitures/1183337869.htm?ca=12_s,ile_de_france,0174730257,2014,23276,9131.0,True
intens,10500,False,//www.leboncoin.fr/voitures/1183091992.htm?ca=12_s,ile_de_france,,2015,65000,10724.0,False
zen,10900,True,//www.leboncoin.fr/voitures/1182420995.htm?ca=12_s,ile_de_france,0160059293,2014,29306,9926.0,True
zen,12999,True,//www.leboncoin.fr/voitures/1182361545.htm?ca=12_s,ile_de_france,0183799581,2016,6400,14271.0,False
zen,11690,True,//www.leboncoin.fr/voitures/1138649404.htm?ca=12_s,ile_de_france,0184030570,2016,100,14317.0,False
zen,10490,True,//www.leboncoin.fr/voitures/1180933261.htm?ca=12_s,ile_de_france,0171025422,2014,20205,10396.0,True
life,13990,True,//www.leboncoin.fr/voitures/1089980725.htm?ca=12_s,ile_de_france,0677372750,2016,1410,11505.0,True
intens,14100,True,//www.leboncoin.fr/voitures/1159162168.htm?ca=12_s,ile_de_france,0184030235,2016,15000,12227.0,True
,14000,False,//www.leboncoin.fr/voitures/1320914417.htm?ca=21_s,provence_alpes_cote_d_azur,,2016,7609,,False
intens,12900,True,//www.leboncoin.fr/voitures/1321281277.htm?ca=21_s,provence_alpes_cote_d_azur,0422171005,2016,9000,12862.0,True
life,10900,True,//www.leboncoin.fr/voitures/1320869772.htm?ca=21_s,provence_alpes_cote_d_azur,0632681662,2016,7456,11681.0,False
intens,8990,True,//www.leboncoin.fr/voitures/1314423304.htm?ca=21_s,provence_alpes_cote_d_azur,0608548996,2013,13976,9541.0,False
life,9990,True,//www.leboncoin.fr/voitures/1311159943.htm?ca=21_s,provence_alpes_cote_d_azur,0608548996,2015,18768,9720.0,True
intens,9990,True,//www.leboncoin.fr/voitures/1320604132.htm?ca=21_s,provence_alpes_cote_d_azur,,2014,31200,8899.0,True
life,11390,True,//www.leboncoin.fr/voitures/1167475798.htm?ca=21_s,provence_alpes_cote_d_azur,0805805802,2016,8184,11662.0,False
life,9490,True,//www.leboncoin.fr/voitures/1320784888.htm?ca=21_s,provence_alpes_cote_d_azur,0805805802,2014,30219,11361.0,False
intens,10690,True,//www.leboncoin.fr/voitures/1320814059.htm?ca=21_s,provence_alpes_cote_d_azur,0463211124,2016,11457,12740.0,False
intens,8290,True,//www.leboncoin.fr/voitures/1187360909.htm?ca=21_s,provence_alpes_cote_d_azur,,2013,41370,8823.0,False
life,9390,True,//www.leboncoin.fr/voitures/1320772955.htm?ca=21_s,provence_alpes_cote_d_azur,0422170108,2014,13906,12135.0,False
intens,9990,True,//www.leboncoin.fr/voitures/1319149752.htm?ca=21_s,provence_alpes_cote_d_azur,0490421313,2015,41642,10957.0,False
life,10490,True,//www.leboncoin.fr/voitures/1319117065.htm?ca=21_s,provence_alpes_cote_d_azur,0422170122,2015,14351,9906.0,True
intens,9990,True,//www.leboncoin.fr/voitures/1179528453.htm?ca=21_s,provence_alpes_cote_d_azur,0422170191,2013,36812,8800.0,True
zen,8990,True,//www.leboncoin.fr/voitures/1179546119.htm?ca=21_s,provence_alpes_cote_d_azur,0490421313,2014,47822,9437.0,False
intens,8990,True,//www.leboncoin.fr/voitures/1303279002.htm?ca=21_s,provence_alpes_cote_d_azur,0422170122,2014,36556,8640.0,True
life,8880,True,//www.leboncoin.fr/voitures/1303278931.htm?ca=21_s,provence_alpes_cote_d_azur,0422170122,2014,24890,11723.0,False
intens,9590,True,//www.leboncoin.fr/voitures/1303278889.htm?ca=21_s,provence_alpes_cote_d_azur,0422170122,2014,31456,8883.0,True
intens,11990,True,//www.leboncoin.fr/voitures/1179055416.htm?ca=21_s,provence_alpes_cote_d_azur,0422170199,2015,8109,12165.0,False
zen,11700,True,//www.leboncoin.fr/voitures/1179055349.htm?ca=21_s,provence_alpes_cote_d_azur,0484320243,2015,7868,10593.0,True
intens,10490,True,//www.leboncoin.fr/voitures/1163821025.htm?ca=21_s,provence_alpes_cote_d_azur,0422170107,2015,16468,11930.0,False
intens,11700,True,//www.leboncoin.fr/voitures/1316814811.htm?ca=21_s,provence_alpes_cote_d_azur,0618402010,2015,14546,12012.0,False
intens,9690,True,//www.leboncoin.fr/voitures/1188756843.htm?ca=21_s,provence_alpes_cote_d_azur,0489974537,2014,14000,9575.0,True
zen,11700,True,//www.leboncoin.fr/voitures/1311183506.htm?ca=21_s,provence_alpes_cote_d_azur,0422170181,2015,17558,10335.0,True
life,9490,True,//www.leboncoin.fr/voitures/1304254184.htm?ca=21_s,provence_alpes_cote_d_azur,0490188023,2016,9446,11620.0,False
intens,12790,True,//www.leboncoin.fr/voitures/1314911794.htm?ca=21_s,provence_alpes_cote_d_azur,0422170107,2016,13731,12576.0,True
life,12900,True,//www.leboncoin.fr/voitures/1114298790.htm?ca=21_s,provence_alpes_cote_d_azur,0687808813,2016,4500,11723.0,True
intens,10000,True,//www.leboncoin.fr/voitures/1182662516.htm?ca=21_s,provence_alpes_cote_d_azur,0442224747,2015,30000,11119.0,False
zen,11700,True,//www.leboncoin.fr/voitures/1170613824.htm?ca=21_s,provence_alpes_cote_d_azur,0618402010,2015,11480,10544.0,True
intens,10900,False,//www.leboncoin.fr/voitures/1313087345.htm?ca=21_s,provence_alpes_cote_d_azur,,2016,8800,12869.0,False
life,9800,True,//www.leboncoin.fr/voitures/1309316334.htm?ca=21_s,provence_alpes_cote_d_azur,0618402010,2014,37413,10915.0,False
zen,9290,True,//www.leboncoin.fr/voitures/1139971351.htm?ca=21_s,provence_alpes_cote_d_azur,0490319881,2014,23286,10479.0,False
,8900,True,//www.leboncoin.fr/voitures/1308275895.htm?ca=21_s,provence_alpes_cote_d_azur,0664589849,2013,60990,,False
intens,9900,True,//www.leboncoin.fr/voitures/1166151086.htm?ca=21_s,provence_alpes_cote_d_azur,0687808813,2014,28600,9049.0,True
intens,11490,True,//www.leboncoin.fr/voitures/1183787738.htm?ca=21_s,provence_alpes_cote_d_azur,0422170199,2014,9222,9621.0,True
life,9490,True,//www.leboncoin.fr/voitures/1307026601.htm?ca=21_s,provence_alpes_cote_d_azur,0490188023,2014,25333,11680.0,False
life,10990,True,//www.leboncoin.fr/voitures/1306026512.htm?ca=21_s,provence_alpes_cote_d_azur,0805805802,2016,7911,11669.0,False
life,10700,True,//www.leboncoin.fr/voitures/1167913928.htm?ca=21_s,provence_alpes_cote_d_azur,0675324710,2015,820,10057.0,True
intens,11590,True,//www.leboncoin.fr/voitures/1303278974.htm?ca=21_s,provence_alpes_cote_d_azur,0481072130,2015,16133,11946.0,False
zen,9390,True,//www.leboncoin.fr/voitures/1303279043.htm?ca=21_s,provence_alpes_cote_d_azur,0481072130,2014,27158,10265.0,False
zen,8900,True,//www.leboncoin.fr/voitures/1165215533.htm?ca=21_s,provence_alpes_cote_d_azur,0494110548,2014,51657,9404.0,False
life,10990,True,//www.leboncoin.fr/voitures/1186627191.htm?ca=21_s,provence_alpes_cote_d_azur,0805805802,2016,7911,11669.0,False
zen,7500,True,//www.leboncoin.fr/voitures/1179055312.htm?ca=21_s,provence_alpes_cote_d_azur,0422170191,2013,41535,8926.0,False
life,11999,True,//www.leboncoin.fr/voitures/1183135194.htm?ca=21_s,provence_alpes_cote_d_azur,0621494561,2016,5500,11712.0,True
intens,7500,False,//www.leboncoin.fr/voitures/1183108008.htm?ca=21_s,provence_alpes_cote_d_azur,,2013,76000,7978.0,False
zen,7900,True,//www.leboncoin.fr/voitures/1182375223.htm?ca=21_s,provence_alpes_cote_d_azur,0490421313,2013,57314,8427.0,False
zen,10000,False,//www.leboncoin.fr/voitures/1322038429.htm?ca=2_s,aquitaine,,2016,15000,14156.0,False
life,11490,True,//www.leboncoin.fr/voitures/1321806610.htm?ca=2_s,aquitaine,0558909010,2016,9746,11695.0,False
life,9200,False,//www.leboncoin.fr/voitures/1321378824.htm?ca=2_s,aquitaine,,2016,21200,11087.0,False
life,8990,True,//www.leboncoin.fr/voitures/1310926298.htm?ca=2_s,aquitaine,0553405559,2014,38049,10957.0,False
life,7800,False,//www.leboncoin.fr/voitures/1320208443.htm?ca=2_s,aquitaine,,2014,46800,10718.0,False
life,7490,True,//www.leboncoin.fr/voitures/1319650908.htm?ca=2_s,aquitaine,0531081576,2014,65387,10647.0,False
life,9450,True,//www.leboncoin.fr/voitures/1136832633.htm?ca=2_s,aquitaine,0531081574,2015,17500,9859.0,False
zen,9990,True,//www.leboncoin.fr/voitures/1319313458.htm?ca=2_s,aquitaine,0612045861,2014,27545,10315.0,False
,9300,False,//www.leboncoin.fr/voitures/1319270536.htm?ca=2_s,aquitaine,,2016,11000,,False
zen,9990,True,//www.leboncoin.fr/voitures/1113250491.htm?ca=2_s,aquitaine,0531081574,2015,17527,10411.0,False
life,9950,True,//www.leboncoin.fr/voitures/1319136873.htm?ca=2_s,aquitaine,0531081574,2015,17076,9871.0,True
intens,12000,True,//www.leboncoin.fr/voitures/1318651695.htm?ca=2_s,aquitaine,0649173452,2015,10132,12221.0,False
zen,10100,True,//www.leboncoin.fr/voitures/1155661889.htm?ca=2_s,aquitaine,0564283208,2014,35858,9823.0,True
life,8990,True,//www.leboncoin.fr/voitures/1318170597.htm?ca=2_s,aquitaine,0531081576,2014,46385,10723.0,False
life,9500,False,//www.leboncoin.fr/voitures/1317638828.htm?ca=2_s,aquitaine,,2014,48000,10705.0,False
life,7950,True,//www.leboncoin.fr/voitures/1149708823.htm?ca=2_s,aquitaine,0531081574,2014,42351,10811.0,False
zen,9500,True,//www.leboncoin.fr/voitures/1317104890.htm?ca=2_s,aquitaine,0564283208,2013,38077,9181.0,True
zen,8000,False,//www.leboncoin.fr/voitures/1315861486.htm?ca=2_s,aquitaine,,2013,49000,8670.0,False
life,10995,True,//www.leboncoin.fr/voitures/1314787398.htm?ca=2_s,aquitaine,0553881330,2016,20300,11109.0,False
zen,10990,True,//www.leboncoin.fr/voitures/1314477373.htm?ca=2_s,aquitaine,0556132965,2015,6600,10681.0,True
,9490,True,//www.leboncoin.fr/voitures/1311303721.htm?ca=2_s,aquitaine,0675008314,2014,55000,,False
life,9290,True,//www.leboncoin.fr/voitures/1182357463.htm?ca=2_s,aquitaine,0531081450,2015,48957,9087.0,True
life,13300,True,//www.leboncoin.fr/voitures/1079144403.htm?ca=2_s,aquitaine,0516066011,2016,3000,11819.0,True
life,11990,True,//www.leboncoin.fr/voitures/1307057599.htm?ca=2_s,aquitaine,0531081576,2016,4619,11809.0,True
zen,8990,True,//www.leboncoin.fr/voitures/1307058054.htm?ca=2_s,aquitaine,0531081576,2014,15143,10826.0,False
life,8690,True,//www.leboncoin.fr/voitures/1307057894.htm?ca=2_s,aquitaine,0531081576,2014,24088,11855.0,False
life,8490,True,//www.leboncoin.fr/voitures/1307057802.htm?ca=2_s,aquitaine,0531081576,2014,34301,11162.0,False
life,8990,True,//www.leboncoin.fr/voitures/1307058176.htm?ca=2_s,aquitaine,0531081576,2014,10690,12268.0,False
intens,9490,True,//www.leboncoin.fr/voitures/1307057547.htm?ca=2_s,aquitaine,0531081576,2014,37441,8673.0,True
life,10500,True,//www.leboncoin.fr/voitures/1307058227.htm?ca=2_s,aquitaine,0531081576,2016,7701,11760.0,False
intens,9950,True,//www.leboncoin.fr/voitures/1307057860.htm?ca=2_s,aquitaine,0531081574,2015,16370,12017.0,False
zen,8990,True,//www.leboncoin.fr/voitures/1307058016.htm?ca=2_s,aquitaine,0531081576,2014,9094,10905.0,False
life,15000,False,//www.leboncoin.fr/voitures/1164190494.htm?ca=2_s,aquitaine,,2017,9000,14066.0,True
intens,8500,False,//www.leboncoin.fr/voitures/1305473373.htm?ca=2_s,aquitaine,,2013,29500,9237.0,False
intens,10590,True,//www.leboncoin.fr/voitures/1189408281.htm?ca=2_s,aquitaine,0558909010,2014,42836,8515.0,True
life,9490,True,//www.leboncoin.fr/voitures/1073147421.htm?ca=2_s,aquitaine,0531081574,2015,6791,10110.0,False
life,14000,False,//www.leboncoin.fr/voitures/1186949629.htm?ca=2_s,aquitaine,,2015,30000,9234.0,True
life,12989,True,//www.leboncoin.fr/voitures/1184970315.htm?ca=2_s,aquitaine,0558464140,2016,5145,11804.0,True
life,12990,True,//www.leboncoin.fr/voitures/1185361086.htm?ca=2_s,aquitaine,0531081450,2016,10,11830.0,True
life,13500,True,//www.leboncoin.fr/voitures/1110866374.htm?ca=2_s,aquitaine,0516066011,2016,3000,11819.0,True
life,9500,True,//www.leboncoin.fr/voitures/1137265504.htm?ca=2_s,aquitaine,0531081574,2015,17611,9853.0,False
,9500,False,//www.leboncoin.fr/voitures/1182673574.htm?ca=2_s,aquitaine,,2016,32000,,False
zen,8200,False,//www.leboncoin.fr/voitures/1182279226.htm?ca=2_s,aquitaine,0610583214,2013,46300,8768.0,False
